date,city,pm25,pm10,no2,so2,co,o3,aqi_proxy
2025-09-06,Kolkata,59.19,72.32,38.24,12.75,0.83,20.88,153.99
2025-09-07,Kolkata,66.42,107.36,19.36,12.38,1.26,26.21,161.6
2025-09-08,Kolkata,41.43,99.24,31.88,10.41,1.33,20.9,115.07
2025-09-09,Kolkata,36.77,111.81,38.64,5.55,1.96,21.18,103.42
2025-09-10,Kolkata,52.24,116.47,39.38,13.9,1.44,28.44,142.11
2025-09-11,Kolkata,52.07,111.78,40.29,14.12,1.85,19.9,141.68
2025-09-12,Kolkata,41.88,99.02,29.79,7.24,0.71,13.09,116.21
2025-09-13,Kolkata,72.49,85.85,50.85,11.61,1.54,13.41,167.99
2025-09-14,Kolkata,50.36,138.7,48.57,11.22,1.1,16.81,137.4
2025-09-15,Kolkata,37.31,123.03,47.91,10.99,1.44,31.25,104.77
2025-09-16,Kolkata,38.4,101.88,40.09,7.81,1.31,18.09,107.51
2025-09-17,Kolkata,68.17,140.63,38.27,9.6,1.32,22.2,163.44
2025-09-18,Kolkata,41.83,96.69,38.7,9.18,1.48,21.31,116.07
2025-09-19,Kolkata,45.6,91.09,42.11,5.09,2.19,23.35,125.5
2025-09-20,Kolkata,55.87,113.38,29.98,7.66,1.15,20.7,150.5
2025-09-21,Kolkata,57.81,88.34,41.05,3.3,1.41,29.29,152.53
2025-09-22,Kolkata,44.99,80.34,29.5,1.32,1.16,28.32,123.98
2025-09-23,Kolkata,40.61,88.35,16.42,5.51,2.04,26.44,113.03
2025-09-24,Kolkata,33.09,86.32,35.31,6.81,0.76,21.29,95.07
2025-09-25,Kolkata,55.22,110.28,42.19,5.74,1.58,20.72,149.55
2025-09-26,Kolkata,48.12,95.47,30.78,1.35,2.02,24.4,131.8
2025-09-27,Kolkata,31.46,109.06,32.08,9.14,1.25,25.34,91.58
2025-09-28,Kolkata,41.85,80.43,45.9,9.86,1.5,26.36,116.12
2025-07-01,Chennai,42.81,92.49,39.5,5.78,1.65,17.94,118.53
2025-07-02,Chennai,56.65,106.85,37.39,5.58,1.52,15.51,151.31
2025-07-03,Chennai,49.39,54.39,23.87,13.97,1.71,20.41,134.97
2025-07-04,Chennai,36.71,75.82,36.37,9.37,2.18,21.45,103.28
2025-07-05,Chennai,47.8,69.08,31.63,10.93,1.41,20.12,131.0
2025-07-06,Chennai,54.42,131.61,37.78,13.83,1.81,29.27,147.56
2025-07-07,Chennai,43.48,97.64,35.35,12.04,1.88,23.51,120.19
2025-07-08,Chennai,60.18,88.82,42.94,13.45,1.83,23.08,155.03
2025-07-09,Chennai,58.73,82.84,37.68,11.3,1.03,25.39,153.51
2025-07-10,Chennai,35.18,92.24,36.57,8.21,1.59,23.36,99.54
2025-07-11,Chennai,39.11,110.74,29.73,17.26,1.52,15.6,109.29
2025-07-12,Chennai,36.64,121.52,31.96,6.31,1.9,20.19,103.1
2025-07-13,Chennai,57.79,119.38,38.63,17.59,0.87,17.68,152.51
2025-07-14,Chennai,46.93,145.84,50.6,14.27,1.24,18.33,128.84
2025-07-15,Chennai,38.81,83.27,47.31,9.67,1.52,27.22,108.52
2025-07-16,Chennai,27.9,98.85,26.11,9.52,1.33,18.56,83.97
2025-07-17,Chennai,54.35,107.38,35.87,11.51,1.21,26.54,147.37
2025-07-18,Chennai,46.67,89.91,29.53,9.68,2.31,22.51,128.16
2025-07-19,Chennai,38.15,121.4,33.51,11.25,1.32,30.35,106.87
2025-07-20,Chennai,42.16,127.8,27.8,9.52,2.12,23.34,116.9
2025-07-21,Chennai,77.62,95.54,38.18,16.12,0.95,12.39,173.39
2025-07-22,Chennai,37.95,113.76,22.1,12.19,1.77,34.47,106.38
2025-07-23,Chennai,60.96,105.94,46.37,12.02,1.38,15.16,155.85
2025-07-24,Chennai,40.37,96.07,35.73,3.99,1.47,22.82,112.42
2025-07-25,Chennai,57.46,134.26,38.17,7.67,0.83,26.72,152.16
2025-07-26,Chennai,38.29,116.43,46.93,5.77,1.78,30.14,107.24
2025-07-27,Chennai,63.7,68.7,30.53,6.56,1.77,25.18,158.74
2025-07-28,Chennai,18.65,96.1,43.6,10.84,1.62,20.35,64.21
2025-07-29,Chennai,38.32,101.7,37.46,12.25,1.84,22.82,107.29
2025-07-30,Chennai,61.2,90.71,23.74,11.83,1.61,25.25,156.1
2025-07-31,Chennai,35.03,136.81,42.28,9.54,1.19,28.79,99.2
2025-08-01,Chennai,37.62,147.01,31.96,15.56,1.49,31.7,105.56
2025-08-02,Chennai,40.89,100.55,42.36,12.39,2.0,19.62,113.73
2025-08-03,Chennai,52.03,127.03,31.46,12.12,1.47,23.69,141.56
2025-08-04,Chennai,52.62,87.2,35.62,10.83,1.52,31.83,143.05
2025-08-05,Chennai,60.77,104.7,29.39,7.93,2.35,16.56,155.65
2025-08-06,Chennai,53.92,111.18,35.32,7.39,1.25,19.07,146.31
2025-08-07,Chennai,42.55,128.64,36.97,8.83,1.6,26.18,117.87
2025-08-08,Chennai,44.89,117.38,25.47,13.91,1.56,22.04,123.73
2025-08-09,Chennai,38.98,72.58,21.34,8.11,1.8,16.65,108.95
2025-08-10,Chennai,28.82,79.19,31.85,9.36,1.51,28.53,85.95
2025-08-11,Chennai,63.24,138.62,22.53,7.83,1.84,19.56,158.25
2025-08-12,Chennai,59.36,103.53,48.34,13.53,1.98,19.82,154.17
2025-08-13,Chennai,48.88,94.68,24.43,14.82,1.86,20.26,133.7
2025-08-14,Chennai,65.06,87.14,20.97,13.42,1.05,21.74,160.17
2025-08-15,Chennai,50.81,106.21,42.12,12.14,1.78,17.7,138.51
2025-08-16,Chennai,55.26,73.03,50.31,6.19,1.42,14.44,149.66
2025-08-17,Chennai,41.64,101.63,32.69,13.83,1.65,19.61,115.61
2025-08-18,Chennai,47.32,123.68,42.98,6.98,1.29,25.19,129.81
2025-08-19,Chennai,53.2,78.42,41.93,7.73,2.08,25.13,144.5
2025-08-20,Chennai,38.42,92.86,33.5,10.88,1.48,15.13,107.55
2025-08-21,Chennai,32.65,110.88,38.32,10.72,1.67,18.28,94.13
2025-08-22,Chennai,52.29,151.52,45.74,9.53,1.35,5.09,142.21
2025-08-23,Chennai,62.49,115.96,31.78,6.1,1.1,25.06,157.46
2025-08-24,Chennai,47.81,112.89,36.03,13.3,1.71,27.33,131.03
2025-08-25,Chennai,24.64,75.54,33.11,13.64,2.31,21.77,77.0
2025-08-26,Chennai,41.86,60.48,42.67,8.75,2.74,18.08,116.16
2025-08-27,Chennai,74.84,115.05,27.78,11.1,1.87,20.98,170.46
2025-08-28,Chennai,59.45,116.28,40.89,10.35,1.09,21.83,154.27
2025-08-29,Chennai,52.14,63.26,37.87,10.11,1.04,20.46,141.84
2025-08-30,Chennai,46.47,139.5,38.13,13.51,1.51,10.72,127.68
2025-08-31,Chennai,57.78,87.23,33.68,7.24,1.59,28.52,152.51
2025-09-01,Chennai,60.84,132.05,50.19,4.26,1.08,11.38,155.72
2025-09-02,Chennai,58.5,88.02,33.02,9.75,1.71,13.06,153.26
2025-09-03,Chennai,35.53,101.82,46.92,10.32,1.24,9.26,100.32
2025-09-04,Chennai,60.67,84.93,26.64,5.25,0.98,16.25,155.55
2025-09-05,Chennai,46.37,75.71,37.79,9.66,2.45,12.06,127.42
2025-09-06,Chennai,51.95,104.19,28.16,10.69,1.87,23.02,141.37
2025-09-07,Chennai,67.12,72.12,30.01,14.83,1.92,25.61,162.34
2025-09-08,Chennai,63.49,68.49,41.82,13.59,1.3,37.89,158.51
2025-09-09,Chennai,52.83,57.83,39.52,8.24,2.03,25.73,143.58
2025-09-10,Chennai,43.19,131.26,44.21,7.92,1.5,25.55,119.47
2025-09-11,Chennai,44.99,93.18,36.31,7.2,0.67,23.67,123.97
2025-09-12,Chennai,26.45,81.13,22.18,5.45,1.73,20.85,80.87
2025-09-13,Chennai,47.2,74.78,31.35,11.53,1.54,26.88,129.51
2025-09-14,Chennai,59.79,93.43,20.71,8.13,1.52,17.48,154.62
2025-09-15,Chennai,37.53,102.28,55.84,8.94,1.56,14.48,105.33
2025-09-16,Chennai,64.84,118.19,43.0,14.48,1.39,20.3,159.94
2025-09-17,Chennai,68.63,110.8,17.31,11.76,1.33,27.47,163.93
2025-09-18,Chennai,54.72,65.89,38.91,11.03,1.71,26.01,148.29
2025-09-19,Chennai,68.2,109.25,36.63,13.84,2.46,27.47,163.48
2025-09-20,Chennai,53.24,110.37,38.96,10.46,2.43,17.5,144.6
2025-09-21,Chennai,62.82,97.09,24.46,9.84,1.34,25.49,157.81
2025-09-22,Chennai,48.5,76.99,46.81,13.67,2.19,23.37,132.76
2025-09-23,Chennai,50.12,115.53,32.22,10.79,1.49,13.17,136.79
2025-09-24,Chennai,53.69,94.78,35.95,11.49,2.07,17.27,145.72
2025-09-25,Chennai,43.53,82.29,28.41,8.62,1.48,25.86,120.32
2025-09-26,Chennai,54.79,80.94,47.62,13.23,1.2,29.61,148.48
2025-09-27,Chennai,55.5,99.65,40.28,10.32,1.78,23.38,150.1
2025-09-28,Chennai,45.93,60.16,40.61,9.28,1.87,25.03,126.33
2025-07-01,Hyderabad,45.13,120.31,37.73,10.89,1.5,32.78,124.32
2025-07-02,Hyderabad,40.51,92.86,25.57,12.58,1.33,19.88,112.79
2025-07-03,Hyderabad,44.92,103.59,27.41,3.67,1.74,10.0,123.8
2025-07-04,Hyderabad,59.12,130.39,34.4,14.3,1.55,32.32,153.91
2025-07-05,Hyderabad,42.73,51.14,34.82,15.52,1.77,19.7,118.33
2025-07-06,Hyderabad,51.32,116.73,34.19,18.28,1.35,28.25,139.8
2025-07-07,Hyderabad,56.98,83.92,31.77,13.45,1.62,24.5,151.66
2025-07-08,Hyderabad,28.61,111.49,37.55,10.21,1.7,20.01,85.49
2025-07-09,Hyderabad,41.14,93.6,31.67,16.94,1.92,16.6,114.36
2025-07-10,Hyderabad,71.8,88.55,34.9,13.09,0.77,21.25,167.27
2025-07-11,Hyderabad,41.13,102.18,38.11,10.17,1.51,28.9,114.32
2025-07-12,Hyderabad,53.26,100.89,37.01,15.91,1.63,19.27,144.65
2025-07-13,Hyderabad,26.73,71.64,32.63,10.07,1.34,24.64,81.47
2025-07-14,Hyderabad,41.47,80.24,40.37,14.51,1.12,24.0,115.18
2025-07-15,Hyderabad,25.42,69.06,30.83,13.8,1.25,17.67,78.68
2025-07-16,Hyderabad,48.13,98.3,28.44,16.36,1.45,23.4,131.83
2025-07-17,Hyderabad,44.45,108.58,45.9,15.39,1.26,29.24,122.63
2025-07-18,Hyderabad,54.55,117.52,34.42,9.84,1.93,28.23,147.87
2025-07-19,Hyderabad,69.49,105.53,35.85,3.02,0.92,20.08,164.83
2025-07-20,Hyderabad,33.6,112.95,24.23,8.9,1.38,29.94,96.16
2025-07-21,Hyderabad,41.89,108.84,37.78,13.11,1.9,22.5,116.22
2025-07-22,Hyderabad,29.91,96.48,36.54,11.26,1.26,28.99,88.27
2025-07-23,Hyderabad,47.84,79.28,31.37,16.19,1.83,28.52,131.09
2025-07-24,Hyderabad,37.53,86.79,30.61,10.95,1.49,19.37,105.33
2025-07-25,Hyderabad,45.1,84.2,34.77,13.74,0.95,24.3,124.26
2025-07-26,Hyderabad,64.58,94.54,31.14,13.17,1.17,22.28,159.66
2025-07-27,Hyderabad,36.9,62.39,34.61,6.61,1.56,29.33,103.75
2025-07-28,Hyderabad,72.12,102.48,44.63,11.6,1.41,10.87,167.6
2025-07-29,Hyderabad,68.03,77.48,45.96,12.01,1.17,24.49,163.3
2025-07-30,Hyderabad,74.74,130.41,32.01,8.26,1.6,21.38,170.36
2025-07-31,Hyderabad,65.46,117.05,23.85,11.78,1.49,22.5,160.59
2025-08-01,Hyderabad,53.11,124.76,44.14,8.15,1.54,19.78,144.29
2025-08-02,Hyderabad,30.73,99.84,51.99,5.26,1.55,22.32,90.02
2025-08-03,Hyderabad,53.75,82.01,25.53,6.26,2.09,16.41,145.88
2025-08-04,Hyderabad,44.24,143.02,30.52,11.43,1.99,28.56,122.09
2025-08-05,Hyderabad,34.54,87.17,39.25,16.19,1.26,19.25,98.15
2025-08-06,Hyderabad,55.55,113.64,41.9,7.86,1.35,23.68,150.16
2025-08-07,Hyderabad,63.55,94.04,35.63,7.32,2.31,23.2,158.58
2025-08-08,Hyderabad,61.94,99.94,36.36,5.9,0.7,29.6,156.88
2025-08-09,Hyderabad,50.71,104.44,26.09,7.69,1.98,33.06,138.27
2025-08-10,Hyderabad,42.13,113.55,37.59,10.04,2.3,19.75,116.82
2025-08-11,Hyderabad,63.52,106.59,35.52,14.52,1.68,21.71,158.55
2025-08-12,Hyderabad,65.66,124.62,45.66,1.0,1.74,23.61,160.8
2025-08-13,Hyderabad,49.75,113.32,39.01,12.43,1.45,31.43,135.87
2025-08-14,Hyderabad,56.46,107.76,38.54,13.87,1.97,21.36,151.12
2025-08-15,Hyderabad,61.08,103.09,51.16,13.69,1.31,36.43,155.98
2025-08-16,Hyderabad,23.69,112.01,30.12,16.05,1.66,17.49,74.98
2025-08-17,Hyderabad,45.81,85.0,33.09,9.41,1.26,23.86,126.02
2025-08-18,Hyderabad,53.37,79.14,22.52,11.33,1.77,26.82,144.93
2025-08-19,Hyderabad,56.34,131.82,44.25,18.44,2.8,11.9,150.99
2025-08-20,Hyderabad,22.38,98.85,39.54,10.17,1.84,20.67,72.18
2025-08-21,Hyderabad,40.52,88.45,34.33,12.93,1.37,20.37,112.79
2025-08-22,Hyderabad,57.24,97.35,45.8,7.64,1.11,24.44,151.94
2025-08-23,Hyderabad,52.01,79.65,45.33,16.17,1.31,31.43,141.53
2025-08-24,Hyderabad,19.98,120.29,28.53,13.33,1.18,21.95,67.06
2025-08-25,Hyderabad,39.43,95.24,50.39,10.08,2.4,20.05,110.07
2025-08-26,Hyderabad,66.73,71.73,33.11,8.79,2.18,23.21,161.93
2025-08-27,Hyderabad,22.58,71.34,26.7,13.2,1.88,20.6,72.61
2025-08-28,Hyderabad,42.47,113.76,26.72,11.77,1.71,20.84,117.67
2025-08-29,Hyderabad,54.73,102.83,40.63,6.4,1.81,28.42,148.34
2025-08-30,Hyderabad,50.42,108.26,33.44,13.07,1.59,15.64,137.56
2025-08-31,Hyderabad,58.42,66.05,37.59,9.25,1.38,23.1,153.17
2025-09-01,Hyderabad,39.97,108.85,35.69,8.55,2.1,23.59,111.44
2025-09-02,Hyderabad,55.34,126.38,46.76,12.14,1.44,13.99,149.85
2025-09-03,Hyderabad,52.82,122.9,39.17,1.0,1.91,27.82,143.54
2025-09-04,Hyderabad,44.61,118.31,40.66,8.34,2.07,14.44,123.03
2025-09-05,Hyderabad,47.27,94.86,28.48,11.31,2.08,29.75,129.69
2025-09-06,Hyderabad,58.22,66.19,25.44,10.9,1.55,19.44,152.97
2025-09-07,Hyderabad,71.94,101.6,40.15,13.36,1.58,37.47,167.41
2025-09-08,Hyderabad,40.35,90.8,30.03,15.09,1.88,19.05,112.38
2025-09-09,Hyderabad,39.97,128.92,39.67,14.63,1.54,25.47,111.43
2025-09-10,Hyderabad,52.55,86.93,34.77,6.85,1.76,27.08,142.88
2025-09-11,Hyderabad,60.57,112.37,34.67,15.06,1.92,30.52,155.45
2025-09-12,Hyderabad,66.12,96.58,38.88,12.72,1.1,15.57,161.29
2025-09-13,Hyderabad,35.89,100.47,34.63,6.09,1.62,21.91,101.22
2025-09-14,Hyderabad,64.63,141.41,40.08,8.31,1.82,22.41,159.71
2025-09-15,Hyderabad,44.66,80.17,31.02,9.87,1.88,25.31,123.15
2025-09-16,Hyderabad,70.44,112.29,38.93,9.48,1.15,18.72,165.83
2025-09-17,Hyderabad,40.02,47.43,27.39,15.21,1.71,20.22,111.55
2025-09-18,Hyderabad,53.56,60.05,37.94,14.23,1.51,11.68,145.4
2025-09-19,Hyderabad,45.06,126.36,38.57,6.15,2.51,14.88,124.15
2025-09-20,Hyderabad,43.45,75.16,25.8,9.04,1.81,30.03,120.12
2025-09-21,Hyderabad,43.99,78.81,39.6,11.92,1.66,24.03,121.48
2025-09-22,Hyderabad,48.58,102.64,35.04,13.61,2.45,23.29,132.95
2025-09-23,Hyderabad,48.35,103.84,30.33,12.69,1.74,19.82,132.38
2025-09-24,Hyderabad,56.75,95.64,25.93,11.45,1.65,28.03,151.42
2025-09-25,Hyderabad,60.39,99.03,32.83,10.41,1.71,25.05,155.25
2025-09-26,Hyderabad,52.72,97.74,43.88,8.38,2.55,26.79,143.31
2025-09-27,Hyderabad,35.59,103.16,41.85,9.35,0.96,15.88,100.48
2025-09-28,Hyderabad,55.01,63.56,23.72,12.01,1.47,18.18,149.01
2025-07-01,Pune,41.8,68.22,38.66,7.98,1.35,24.69,116.0
2025-07-02,Pune,42.19,80.46,17.66,11.5,1.59,19.72,116.97
2025-07-03,Pune,37.78,101.24,40.36,10.69,2.22,26.78,105.94
2025-07-04,Pune,47.69,114.02,35.95,10.54,2.08,17.24,130.72
2025-07-05,Pune,48.42,122.11,37.82,9.29,0.88,9.16,132.55
2025-07-06,Pune,76.1,108.51,32.65,11.45,1.18,21.12,171.79
2025-07-07,Pune,37.87,71.36,19.09,5.61,1.97,16.4,106.17
2025-07-08,Pune,54.4,117.24,35.38,9.5,1.61,20.57,147.5
2025-07-09,Pune,63.25,136.68,47.29,3.95,1.39,22.48,158.26
2025-07-10,Pune,54.82,65.22,22.05,14.32,1.34,13.69,148.56
2025-07-11,Pune,35.72,107.15,29.18,11.12,1.17,12.07,100.79
2025-07-12,Pune,66.75,108.22,33.53,8.84,2.15,26.4,161.94
2025-07-13,Pune,61.96,86.62,35.6,11.61,1.34,22.18,156.9
2025-07-14,Pune,42.52,108.27,25.95,12.12,1.68,21.66,117.8
2025-07-15,Pune,55.22,93.2,30.99,12.03,1.79,19.58,149.54
2025-07-16,Pune,42.03,95.86,31.34,14.98,1.69,22.72,116.56
2025-07-17,Pune,37.57,113.9,30.82,8.44,1.87,24.71,105.43
2025-07-18,Pune,18.31,95.41,36.44,9.38,1.62,12.18,63.48
2025-07-19,Pune,15.68,80.92,38.83,1.0,1.22,10.8,57.86
2025-07-20,Pune,47.22,140.06,34.81,10.08,1.9,22.7,129.54
2025-07-21,Pune,48.35,120.43,40.72,11.27,1.5,20.75,132.38
2025-07-22,Pune,62.11,95.42,46.95,7.26,2.13,25.5,157.06
2025-07-23,Pune,38.29,110.92,31.46,10.5,1.37,21.76,107.23
2025-07-24,Pune,59.79,108.86,26.0,7.2,1.67,24.75,154.62
2025-07-25,Pune,39.54,129.44,41.47,8.52,1.27,21.25,110.36
2025-07-26,Pune,45.11,124.57,43.6,10.51,1.83,27.01,124.26
2025-07-27,Pune,48.75,106.28,40.1,11.86,1.25,18.57,133.38
2025-07-28,Pune,45.19,84.77,23.71,12.43,1.7,14.13,124.47
2025-07-29,Pune,45.7,95.27,37.18,7.15,1.02,25.77,125.75
2025-07-30,Pune,30.7,95.09,33.66,10.03,1.66,31.86,89.96
2025-07-31,Pune,28.49,115.19,14.85,14.58,0.74,37.38,85.24
2025-08-01,Pune,43.39,124.02,43.95,9.09,1.42,17.58,119.99
2025-08-02,Pune,58.4,90.72,28.92,12.01,1.2,20.72,153.16
2025-08-03,Pune,49.03,84.84,30.96,15.0,1.48,20.58,134.07
2025-08-04,Pune,47.75,109.56,27.97,11.68,1.66,12.28,130.87
2025-08-05,Pune,74.13,133.34,31.64,7.03,1.65,13.83,169.72
2025-08-06,Pune,63.21,87.11,47.25,7.93,1.52,30.16,158.22
2025-08-07,Pune,44.07,103.47,43.91,8.73,1.06,13.98,121.67
2025-08-08,Pune,55.4,106.4,43.93,9.58,0.99,8.63,150.0
2025-08-09,Pune,80.63,106.28,35.14,11.24,0.99,17.64,176.56
2025-08-10,Pune,68.19,110.39,28.81,6.72,1.35,20.65,163.46
2025-08-11,Pune,76.11,99.06,28.09,10.22,1.67,14.29,171.8
2025-08-12,Pune,54.63,124.75,37.66,8.01,1.35,12.53,148.07
2025-08-13,Pune,48.01,106.45,29.05,16.22,1.88,11.74,131.53
2025-08-14,Pune,26.24,77.82,47.57,13.07,2.21,23.05,80.42
2025-08-15,Pune,49.02,77.82,40.27,9.81,1.47,32.44,134.06
2025-08-16,Pune,48.0,126.63,23.27,18.46,1.41,26.83,131.51
2025-08-17,Pune,58.4,88.22,41.86,13.01,1.27,18.52,153.16
2025-08-18,Pune,50.92,98.96,47.92,12.51,1.53,26.05,138.8
2025-08-19,Pune,22.91,85.1,37.17,13.75,1.64,31.19,73.31
2025-08-20,Pune,60.15,90.53,34.99,11.63,1.38,31.91,155.01
2025-08-21,Pune,33.93,103.52,40.82,9.46,1.34,22.45,96.85
2025-08-22,Pune,59.85,90.96,28.16,13.85,1.72,28.27,154.68
2025-08-23,Pune,58.07,143.12,45.03,8.23,1.75,19.03,152.82
2025-08-24,Pune,43.73,71.32,33.51,12.04,1.53,15.9,120.82
2025-08-25,Pune,32.34,143.88,39.66,7.93,1.74,35.47,93.47
2025-08-26,Pune,58.58,63.58,58.33,4.85,1.48,15.72,153.34
2025-08-27,Pune,42.51,108.27,20.83,10.13,2.02,17.54,117.76
2025-08-28,Pune,33.31,97.97,33.83,8.61,1.08,25.16,95.53
2025-08-29,Pune,56.99,79.2,28.93,10.81,1.17,23.36,151.67
2025-08-30,Pune,66.0,97.49,25.9,11.58,1.49,21.38,161.16
2025-08-31,Pune,54.86,113.28,35.88,10.22,2.39,29.4,148.66
2025-09-01,Pune,60.26,103.66,28.51,13.78,1.62,18.42,155.12
2025-09-02,Pune,45.2,78.76,43.4,12.45,1.63,21.76,124.49
2025-09-03,Pune,40.3,56.03,24.03,8.17,1.2,23.94,112.24
2025-09-04,Pune,56.98,94.46,45.86,8.05,1.51,21.67,151.66
2025-09-05,Pune,59.25,97.84,35.21,5.44,1.2,28.94,154.06
2025-09-06,Pune,25.39,128.18,41.05,8.16,1.23,33.72,78.62
2025-09-07,Pune,66.21,97.4,37.1,8.46,1.61,18.1,161.38
2025-09-08,Pune,46.79,133.96,34.27,7.26,1.01,22.91,128.49
2025-09-09,Pune,40.88,105.75,23.65,12.47,1.14,22.63,113.71
2025-09-10,Pune,44.63,133.62,37.5,16.24,1.78,31.05,123.07
2025-09-11,Pune,46.9,106.95,46.01,13.11,1.77,20.52,128.76
2025-09-12,Pune,47.86,123.09,46.93,8.62,1.26,17.01,131.14
2025-09-13,Pune,61.37,83.97,43.84,12.04,1.34,31.91,156.28
2025-09-14,Pune,32.05,133.26,38.5,4.18,2.2,27.91,92.84
2025-09-15,Pune,44.64,81.07,23.63,17.65,1.19,14.6,123.09
2025-09-16,Pune,52.78,67.41,28.35,13.38,1.75,20.14,143.46
2025-09-17,Pune,50.15,91.86,36.06,8.11,1.33,18.72,136.88
2025-09-18,Pune,39.33,119.03,41.38,7.6,1.08,20.97,109.82
2025-09-19,Pune,74.88,79.88,34.37,10.67,1.52,19.93,170.51
2025-09-20,Pune,62.78,108.38,42.51,12.17,1.92,31.8,157.77
2025-09-21,Pune,64.01,144.62,44.91,8.39,1.9,26.85,159.06
2025-09-22,Pune,70.98,78.57,39.42,8.36,1.77,21.18,166.4
2025-09-23,Pune,56.09,72.76,42.61,11.02,1.62,33.99,150.72
2025-09-24,Pune,43.14,104.59,35.83,10.99,2.45,22.81,119.36
2025-09-25,Pune,40.11,134.14,32.15,5.58,1.26,15.08,111.77
2025-09-26,Pune,28.23,93.23,35.75,13.94,1.81,26.0,84.69
2025-09-27,Pune,37.91,116.69,46.86,11.58,1.73,14.77,106.27
2025-09-28,Pune,60.57,133.73,37.97,8.62,1.5,19.79,155.44
2025-07-01,Ahmedabad,44.48,112.28,38.27,13.41,1.71,17.46,122.71
2025-07-02,Ahmedabad,42.96,88.17,34.42,15.78,2.34,28.07,118.89
2025-07-03,Ahmedabad,49.29,70.6,36.7,8.03,2.21,13.25,134.73
2025-07-04,Ahmedabad,53.87,82.27,35.92,12.4,1.97,22.35,146.16
2025-07-05,Ahmedabad,57.97,85.77,37.33,13.41,1.69,19.31,152.7
2025-07-06,Ahmedabad,46.0,120.22,27.38,7.57,1.8,20.11,126.5
2025-07-07,Ahmedabad,32.17,127.17,27.31,9.8,1.31,20.85,93.09
2025-07-08,Ahmedabad,40.34,116.34,38.09,13.35,1.32,35.09,112.34
2025-07-09,Ahmedabad,26.39,67.81,49.57,11.82,1.7,25.13,80.74
2025-07-10,Ahmedabad,53.97,102.96,26.98,12.85,1.82,30.77,146.41
2025-07-11,Ahmedabad,68.65,103.98,24.98,15.72,1.15,24.71,163.94
2025-07-12,Ahmedabad,46.05,90.87,41.81,11.13,1.77,17.94,126.62
2025-07-13,Ahmedabad,44.13,80.35,32.45,10.04,2.3,20.68,121.83
2025-07-14,Ahmedabad,23.61,127.48,39.51,10.01,1.39,17.21,74.81
2025-07-15,Ahmedabad,71.11,98.82,20.95,11.38,2.04,23.36,166.54
2025-07-16,Ahmedabad,38.08,79.55,28.59,14.96,1.53,12.31,106.71
2025-07-17,Ahmedabad,53.3,101.91,32.2,7.34,1.13,29.19,144.75
2025-07-18,Ahmedabad,52.87,110.24,38.49,11.38,1.37,21.39,143.68
2025-07-19,Ahmedabad,64.78,130.17,27.37,9.78,1.9,33.95,159.88
2025-07-20,Ahmedabad,72.68,86.58,47.59,10.58,1.98,27.53,168.19
2025-07-21,Ahmedabad,33.6,110.24,43.98,10.34,1.46,13.01,96.16
2025-07-22,Ahmedabad,58.75,105.55,29.28,9.42,1.62,19.43,153.53
2025-07-23,Ahmedabad,51.52,67.59,47.99,10.45,1.12,7.94,140.3
2025-07-24,Ahmedabad,63.78,113.76,39.03,12.99,1.9,23.57,158.82
2025-07-25,Ahmedabad,46.68,92.13,39.84,14.59,1.52,31.38,128.2
2025-07-26,Ahmedabad,51.93,104.88,53.87,15.36,2.23,17.59,141.32
2025-07-27,Ahmedabad,73.81,95.75,32.96,3.92,1.69,15.9,169.38
2025-07-28,Ahmedabad,53.89,76.15,50.17,12.05,2.47,16.2,146.22
2025-07-29,Ahmedabad,66.31,71.31,36.61,8.51,1.38,19.39,161.48
2025-07-30,Ahmedabad,37.37,73.32,31.79,10.75,2.03,24.2,104.94
2025-07-31,Ahmedabad,64.27,71.53,33.17,12.53,1.7,17.44,159.34
2025-08-01,Ahmedabad,58.37,86.31,28.33,11.86,1.56,19.63,153.13
2025-08-02,Ahmedabad,42.96,79.1,33.54,13.7,1.66,28.28,118.89
2025-08-03,Ahmedabad,55.55,87.55,22.68,7.62,1.29,18.23,150.16
2025-08-04,Ahmedabad,61.36,119.5,53.7,8.11,2.2,32.06,156.27
2025-08-05,Ahmedabad,46.93,109.76,46.07,10.22,1.51,18.49,128.82
2025-08-06,Ahmedabad,21.21,101.53,30.5,7.17,1.73,13.66,69.68
2025-08-07,Ahmedabad,58.13,108.28,32.11,10.21,1.08,26.94,152.87
2025-08-08,Ahmedabad,51.48,104.99,40.07,8.47,0.95,28.09,140.19
2025-08-09,Ahmedabad,59.33,91.5,40.55,14.17,2.02,19.36,154.13
2025-08-10,Ahmedabad,30.09,71.65,32.57,14.79,1.27,19.1,88.66
2025-08-11,Ahmedabad,43.75,91.65,37.17,6.56,1.99,21.26,120.87
2025-08-12,Ahmedabad,80.94,85.94,49.6,14.57,1.4,20.3,176.89
2025-08-13,Ahmedabad,36.46,79.19,34.74,10.46,0.92,36.16,102.65
2025-08-14,Ahmedabad,45.45,100.15,30.53,9.6,1.42,22.49,125.13
2025-08-15,Ahmedabad,48.24,114.61,37.01,12.51,1.56,23.96,132.1
2025-08-16,Ahmedabad,45.76,118.99,38.12,9.93,1.48,21.78,125.91
2025-08-17,Ahmedabad,49.54,98.5,31.43,12.69,1.89,33.16,135.36
2025-08-18,Ahmedabad,42.35,113.41,20.7,12.89,0.98,16.47,117.38
